Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
fashion shoes,n/a,300000,3,163,988,299,426,499,0,471,3267,39,193,418,11661,74394,133732,595151,6,YES
female shoes casual shoes,n/a,3000,587,5868,22210,399,488,599,0,83,315,3,25,54,1197,14458,25596,115663,3,NO
female shoes running shoes,n/a,474,2056,24084,48223,495,2940,8998,0,20,154,1,7,24,499,11266,47976,101396,0,NO
footin shoes ladies shoes,n/a,n/a,1679,40291,68099,474,546,666,5,11,18,1,10,27,499,4654,12798,13963,0,YES
for shoes boy shoes,n/a,90000,14,344,1130,299,516,799,4,155,495,36,101,274,17964,47019,81995,470188,4,YES
for shoes loafer shoes,n/a,60000,4,154,513,360,550,899,4,255,1415,58,166,390,28942,86208,140400,862076,4,YES
for shoes sports shoes,n/a,n/a,1,139,805,429,610,885,0,566,3149,44,204,532,18876,124814,265468,1248142,5,YES
formal shoes for men shoes,n/a,60000,56,914,3240,285,579,878,0,136,340,17,77,168,10183,38620,82350,386202,6,YES
full shoes all shoes,n/a,2000,2,28,175,232,473,825,1201,2413,3870,103,311,460,43188,143244,289575,1289197,5,YES
furo shoes basketball shoes,n/a,3,371,39593,116849,1525,1744,1950,1,33,244,1,10,70,1716,17294,124600,172939,1,NO
furo shoes sports shoes,n/a,169,556,19854,91811,1676,1840,2065,1,35,234,0,13,56,0,24643,105560,246430,4,YES
girl shoes casual shoes,n/a,40000,33,893,2749,450,494,516,1,128,605,19,77,206,8550,38516,102794,385161,5,YES
goldstar shoes goldstar shoes,n/a,447,563,6116,14186,349,585,710,0,15,33,4,20,55,1745,11080,25935,110802,2,NO
hightop shoes mr shoes,n/a,5,27709,193373,298477,799,1699,2899,0,0,1,0,1,2,0,599,1798,1798,1,NO
hillson shoes safety shoes,n/a,189,107,2774,12111,290,670,1399,4,177,688,0,31,144,0,16720,71856,167198,0,NO
hot shoes sports shoes,n/a,733,90,29100,129189,299,893,4543,0,114,490,0,56,213,0,38187,170187,343686,5,YES
hrx shoes canvas shoes,n/a,7,6,66799,206098,398,633,1349,0,321,3197,0,37,351,0,33365,289575,300283,4,YES
hrx shoes,n/a,45,593,202671,576079,135,1304,2099,0,20,194,0,22,108,0,3215,14580,16077,2,NO
issues shoes,n/a,n/a,3,46,182,246,1049,2459,420,1396,2399,101,240,418,90528,209035,484423,2090345,4,YES
jumping shoes jumping shoes,n/a,850,5,42160,100276,2399,5197,13771,0,322,3211,0,62,368,0,156875,919632,941249,2,NO
kabaddi shoes kabaddi shoes,n/a,103,6525,29442,58646,569,720,1291,0,2,7,1,3,9,569,2166,5841,21662,3,NO
kid shoes casual shoes,n/a,30000,205,7409,18937,379,445,579,0,51,324,3,22,95,1737,8986,37905,89863,2,NO
knoos shoes cut shoes,n/a,6,37,36284,116828,220,468,499,1,100,349,0,40,197,0,20354,98303,183182,7,YES
kraasa shoes for men shoes,n/a,799,27,362,861,339,463,499,33,499,2274,43,98,221,20382,43489,74919,434889,5,YES
ladies shoe shoe,n/a,60000,14,319,903,457,784,1338,41,288,847,40,117,249,18280,91841,200700,918411,7,YES
ladies shoes,n/a,50000,19,3884,16827,367,517,734,0,138,963,4,67,234,2396,39221,171756,392208,4,NO
ladka shoes running shoes,n/a,30000,31,949,4644,457,616,899,16,139,495,13,74,210,6162,54442,175140,435533,6,YES
lady shoes for sports shoes,n/a,6000,40,1358,4277,295,541,899,1,166,573,13,62,192,3887,41267,172608,412672,6,YES
lakhani shoes,n/a,370,11095,24406,46982,599,1324,1699,0,5,12,0,3,6,0,3913,8495,39128,1,NO
larger shoes,n/a,2000,1,82,428,232,655,1000,143,2200,3861,96,284,532,80160,184092,532000,1840918,6,YES
lcr shoes,n/a,202,21,2607,11043,449,660,999,6,259,1028,6,73,241,3294,32418,73636,291758,5,YES
lebarty shoes for men shoes,n/a,2000,232,20100,71859,400,760,1299,4,63,293,1,17,89,449,11608,44411,104468,2,NO
led shoe laces shoes,n/a,2000,3695,46963,178002,285,387,932,0,3,10,0,6,15,0,1744,4485,15692,2,NO
leecooper shoes formal shoes,n/a,1000,5687,14596,34799,1595,2143,2999,0,28,108,2,6,11,4318,12403,24770,124027,0,NO
lencer shoes for men shoes,n/a,857,40,1017,1922,424,505,849,81,555,1099,27,81,224,12744,39430,100576,394304,7,YES
levis shoes lace up shoes,n/a,7,13979,98471,207890,1119,2925,4847,0,4,24,0,1,5,0,2872,8580,22975,0,NO
lighting shoes in under the shoes,n/a,40,6,44169,238333,259,883,2224,0,361,3197,0,42,351,0,35350,290979,353496,6,YES
local shoes red shoes,n/a,71,1,3930,20857,233,817,2476,20,656,2428,3,156,532,2421,64687,159068,646866,7,YES
lotto shoes for men shoes,n/a,831,6,3668,16958,254,726,1199,2,458,3197,4,89,351,1016,81375,289575,732373,6,YES
men shoes casual shoes,n/a,80000,3,56,143,289,482,764,35,879,3861,113,221,418,43061,105137,245784,1051373,6,YES
men shoes formal shoes,n/a,40000,16,303,739,285,560,1351,12,207,453,47,103,263,24010,55388,131237,553882,4,YES
men shoes men shoes,n/a,30000,1,299,751,374,756,1809,5,760,5214,47,153,568,30503,89517,212432,805655,6,YES
men shoes office shoes,n/a,10000,1,973,3345,329,501,699,1,417,3188,16,114,532,7984,55437,265468,554365,7,YES
men shoes,n/a,90000,1,38,122,273,502,764,36,1149,3866,121,278,532,44226,138583,265468,1385826,5,YES
men shoes casual,n/a,80000,4,104,291,310,435,549,0,295,731,79,182,390,27590,77553,148200,775526,5,YES
men shoes combo,n/a,40000,16,1144,3722,298,535,699,2,332,1489,15,92,263,6930,47348,131237,473484,6,YES
men shoes formal,n/a,50000,164,853,2905,329,475,549,118,250,574,18,62,106,8982,29878,52894,298781,4,YES
